Neighborhood,City,State,Neighborhood Latitude,Neighborhood Longitude,Radius
Talbot Park,Norfolk,VA,36.9037586,-76.27938499999999,400.0
Tidewater Park,Norfolk,VA,36.8507689,-76.28587259999999,400.0
Titustown,Norfolk,VA,36.9157671,-76.29352670000002,400.0
Villa Heights,Norfolk,VA,36.8730006,-76.2775995,400.0
Wards Corner Business District,Norfolk,VA,36.8500234,-76.2899071,400.0
West Freemason,Norfolk,VA,36.8507013,-76.2956985,400.0
Willoughby Spit,Norfolk,VA,36.9670915,-76.27855199999999,400.0
Young Terrace,Norfolk,VA,36.8565209,-76.2833915,400.0
Anderson Heights,Raleigh,NC,35.817114,-78.6412922,400.0
Avent West,Raleigh,NC,35.7654028,-78.7037778,400.0
Belvidere Park,Raleigh,NC,35.7981893,-78.6193035,400.0
Battery Heights,Raleigh,NC,35.7778573,-78.61788469999999,400.0
Bloomsbury,Raleigh,NC,35.8091078,-78.64909349999999,400.0
Boylan Heights,Raleigh,NC,35.7743696,-78.6519302,400.0
Cameron Park,Raleigh,NC,35.7861538,-78.6554759,400.0
Cameron Village,Raleigh,NC,35.7937621,-78.65760329999999,400.0
Capitol District,Raleigh,NC,35.7803584,-78.63912909999999,400.0
Capitol Heights,Raleigh,NC,35.7803584,-78.63912909999999,400.0
Country Club Hills,Raleigh,NC,35.8270811,-78.66114879999999,400.0
Coley Forest,Raleigh,NC,35.8227763,-78.67249369999999,400.0
Depot District,Raleigh,NC,35.7771695,-78.64517579999999,400.0
Drewry Hills,Raleigh,NC,35.8281518,-78.64412910000001,400.0
Fayetteville Street,Raleigh,NC,35.7737065,-78.63945079999999,400.0
Five Points Historic Neighborhoods,Raleigh,NC,35.8027175,-78.6416146,400.0
Glenwood-Brooklyn,Raleigh,NC,35.8633075,-78.7130681,400.0
Glenwood South,Raleigh,NC,35.7849869,-78.6490087,400.0
Glenwood Village,Raleigh,NC,35.8179287,-78.6644482,400.0
Hayes Barton,Raleigh,NC,35.8020411,-78.65263929999999,400.0
Hi-Mount,Raleigh,NC,35.8099068,-78.6292345,400.0
Historic Oakwood,Raleigh,NC,35.7844621,-78.6306531,400.0
Longview Gardens,Raleigh,NC,35.7819503,-78.59731,400.0
Madonna Acres,Raleigh,NC,35.7900075,-78.61469240000001,400.0
Maiden Lane,Raleigh,NC,35.7870576,-78.6631317,400.0
Moore Square,Raleigh,NC,35.7768175,-78.63583469999999,400.0
Mordecai District,Raleigh,NC,35.7967153,-78.6320717,400.0
North Carolina State University,Raleigh,NC,35.7846633,-78.6820946,400.0
Raleigh Country Club,Raleigh,NC,35.7762835,-78.5934961,400.0
Roanoke Park,Raleigh,NC,35.801682,-78.63994509999999,400.0
Rochester Heights,Raleigh,NC,35.7545623,-78.6278158,400.0
South Park,Raleigh,NC,35.7678316,-78.632781,400.0
State Government District,Raleigh,NC,35.78285450000001,-78.63714,400.0
Vanguard Park,Raleigh,NC,35.829994,-78.63119900000001,400.0
Victoria Place,Raleigh,NC,35.8102621,-78.6612585,400.0
Warehouse District,Raleigh,NC,35.7771695,-78.64517579999999,400.0
West Raleigh Historic District,Raleigh,NC,35.7776188,-78.63876549999999,400.0
Wayland Heights,Raleigh,NC,35.8128803,-78.6604397,400.0
Woodcrest,Raleigh,NC,35.800945,-78.6129188,400.0
University Park,Raleigh,NC,35.7962541,-78.66256700000001,400.0
Bent Tree,Raleigh,NC,35.8967506,-78.62994379999999,400.0
Brentwood Estates,Raleigh,NC,35.8304085,-78.59731,400.0
Brier Creek,Raleigh,NC,35.909664,-78.7848626,400.0
Brookhaven,Raleigh,NC,35.8596512,-78.6923441,400.0
Coachmans Trail,Raleigh,NC,35.9429971,-78.63561820000001,400.0
Crabtree Valley,Raleigh,NC,35.8382005,-78.68022909999999,400.0
Crossgate,Raleigh,NC,35.9149063,-78.6370367,400.0
Dominion Park,Raleigh,NC,35.9129084,-78.7433698,400.0
Durant Trails,Raleigh,NC,35.8963786,-78.59092389999999,400.0
Fairfax Hills,Raleigh,NC,35.8561933,-78.6207223,400.0
Falls Church,Raleigh,NC,35.8623771,-78.6150471,400.0
Falls River/Bedford,Raleigh,NC,35.9293431,-78.5632461,400.0
Hickory Hills,Raleigh,NC,35.8440396,-78.6280586,400.0
Lake Park,Raleigh,NC,35.8674383,-78.663327,400.0
Lakemont,Raleigh,NC,35.8483291,-78.62994379999999,400.0
Leesville,Raleigh,NC,35.9091748,-78.7255631,400.0
Millbrook,Raleigh,NC,35.865662,-78.6033424,400.0
New Hope,Raleigh,NC,35.8395953,-78.5805577,400.0
North Hills,Raleigh,NC,35.8395428,-78.6422671,400.0
North Pointe,Raleigh,NC,35.8868264,-78.6017446,400.0
North Ridge,Raleigh,NC,35.8804669,-78.6143377,400.0
North Ridge Country Club,Raleigh,NC,35.8743707,-78.62066709999999,400.0
Oak Park,Raleigh,NC,35.8460601,-78.705103,400.0
Pinecrest,Raleigh,NC,35.8257054,-78.6168438,400.0
Quail Hollow,Raleigh,NC,35.8475162,-78.6214317,400.0
Quail Meadows,Raleigh,NC,35.8526267,-78.6185941,400.0
Quail Ridge,Raleigh,NC,35.8567559,-78.60901679999999,400.0
Skycrest,Raleigh,NC,35.8104378,-78.5750836,400.0
Southall,Raleigh,NC,35.8178595,-78.5646656,400.0
Springdale/Leesville,Raleigh,NC,35.8996925,-78.7252747,400.0
Stonebridge,Raleigh,NC,35.9271563,-78.6668214,400.0
Stonehenge,Raleigh,NC,35.8928764,-78.6880908,400.0
Summerfield,Raleigh,NC,36.208778,-79.920402,400.0
Summit Ridge,Raleigh,NC,35.8331464,-78.5767311,400.0
Tadlock Plantation,Raleigh,NC,35.9537661,-78.6639852,400.0
Tealbriar,Raleigh,NC,35.8699049,-78.6093716,400.0
Thorpshire,Raleigh,NC,35.893512,-78.607271,400.0
Timberlake,Raleigh,NC,35.8076387,-78.5895003,400.0
Village on the Green,Raleigh,NC,35.8728935,-78.65476679999999,400.0
Wakefield Plantation,Raleigh,NC,35.9584705,-78.5553882,400.0
Wood Valley,Raleigh,NC,35.9256952,-78.7123897,400.0
Asbury,Raleigh,NC,35.7901515,-78.737505,400.0
Brandywine,Raleigh,NC,35.8013764,-78.7446957,400.0
Laurel Hills,Raleigh,NC,35.838928,-78.70085019999999,400.0
Medfield,Raleigh,NC,35.8021914,-78.7600709,400.0
Olde Raleigh,Raleigh,NC,35.8286982,-78.7065205,400.0
Trinity Woods,Raleigh,NC,35.8004317,-78.7470105,400.0
Tysonville,Raleigh,NC,35.8207064,-78.7047267,400.0
Umstead,Raleigh,NC,35.8905776,-78.7501817,400.0
Westover,Raleigh,NC,35.79416150000001,-78.7185689,400.0
Biltmore Hills,Raleigh,NC,35.7508564,-78.62426909999999,400.0
Carolina Pines,Raleigh,NC,35.7484407,-78.6554759,400.0
Hedingham,Raleigh,NC,35.8093575,-78.5462098,400.0
Lake Wheeler,Raleigh,NC,35.7480461,-78.6734512,400.0
Parkland,Raleigh,NC,35.74854,-78.64590210000001,400.0
Renaissance Park,Raleigh,NC,35.7352372,-78.6583124,400.0
Rhamkatte,Raleigh,NC,35.7482078,-78.6733374,400.0
Skycrest Village,Raleigh,NC,35.8750777,-78.5266855,400.0
Southall,Raleigh,NC,35.8178595,-78.5646656,400.0
Southgate,Raleigh,NC,35.7519249,-78.6072432,400.0
Swift Creek,Raleigh,NC,35.7435468,-78.7329963,400.0
Trailwood,Raleigh,NC,35.7592845,-78.6916352,400.0
Walnut Creek,Raleigh,NC,35.7493881,-78.5763028,400.0
Wilder's Grove,Raleigh,NC,35.7988044,-78.5645282,400.0
Arts District,Richmond,VA,37.543453,-77.438963,400.0
Biotech and MCV,Richmond,VA,37.5434554,-77.430753,400.0
City Center,Richmond,VA,37.5429163,-77.4379257,400.0
Court End,Richmond,VA,37.5441544,-77.43209569999999,400.0
Gambles Hill,Richmond,VA,37.537863,-77.44581509999999,400.0
Jackson Ward,Richmond,VA,37.5477384,-77.44007739999999,400.0
Monroe Ward,Richmond,VA,37.5431096,-77.44581509999999,400.0
Midtown,Richmond,VA,37.5608508,-77.48553919999999,400.0
Shockoe Bottom,Richmond,VA,37.5337726,-77.42682560000002,400.0
Shockoe Slip,Richmond,VA,37.5344285,-77.43218759999999,400.0
Upper Shockoe Valley,Richmond,VA,37.5435702,-77.4257319,400.0
Brauers,Richmond,VA,37.5468454,-77.4135367,400.0
Chimborazo,Richmond,VA,37.5282873,-77.4056451,400.0
Church Hill,Richmond,VA,37.5328397,-77.4162523,400.0
Creighton,Richmond,VA,37.5451415,-77.3977529,400.0
Eastview,Richmond,VA,37.5498917,-77.4113845,400.0
Fairfield,Richmond,VA,37.5496956,-77.40349270000002,400.0
Fairmount,Richmond,VA,37.5415995,-77.4135367,400.0
Fulton Hill,Richmond,VA,37.5157061,-77.3984704,400.0
Montrose Heights,Richmond,VA,37.5218006,-77.39416539999999,400.0
Mosby,Richmond,VA,37.5463076,-77.4207105,400.0
Navy Hill,Richmond,VA,37.54655109999999,-77.432637,400.0
Oakwood,Richmond,VA,37.5329145,-77.3999054,400.0
Peter Paul,Richmond,VA,37.5449147,-77.40779739999999,400.0
Tobacco Row,Richmond,VA,37.5288108,-77.42227969999999,400.0
Union Hill,Richmond,VA,37.5377053,-77.4199931,400.0
Witcomb Court,Richmond,VA,37.55593289999999,-77.41850199999999,400.0
Barton Heights,Richmond,VA,37.5599252,-77.4314703,400.0
Bellevue,Richmond,VA,37.5908319,-77.4575539,400.0
Chamberlayne Industrial Center,Richmond,VA,37.5593799,-77.4425219,400.0
Edgewood,Richmond,VA,37.5806331,-77.43505669999999,400.0
Gilpin,Richmond,VA,37.5523663,-77.4343394,400.0
Ginter Park,Richmond,VA,37.5836035,-77.4443807,400.0
Green Park,Richmond,VA,37.5689085,-77.4235799,400.0
Hermitage Road,Richmond,VA,37.5782127,-77.4616853,400.0
Highland Park,Richmond,VA,37.5741117,-77.41712369999999,400.0
Highland Terrace,Richmond,VA,37.5721087,-77.4228625,400.0
Laburnum Park,Richmond,VA,37.5810596,-77.45728969999999,400.0
Magnolia Industrial Center,Richmond,VA,37.5614245,-77.4149715,400.0
North Highland Park,Richmond,VA,37.5741117,-77.41712369999999,400.0
Pine Camp,Richmond,VA,37.5987539,-77.4450979,400.0
Providence Park,Richmond,VA,37.5776619,-77.4257319,400.0
Rosedale,Richmond,VA,37.5846064,-77.4658948,400.0
Sherwood Park,Richmond,VA,37.5755072,-77.45442109999999,400.0
South Barton Heights,Richmond,VA,37.5599252,-77.4314703,400.0
Three Corners,Richmond,VA,37.5355725,-77.43224409999999,400.0
Washington Park,Richmond,VA,37.5896941,-77.44007739999999,400.0
Ancarrow's Landing,Richmond,VA,37.5189793,-77.42075229999999,400.0
Bellemeade,Richmond,VA,37.4990417,-77.43864289999999,400.0
Belmont Woods,Richmond,VA,37.4672819,-77.49744160000002,400.0
Blackwell,Richmond,VA,37.5165639,-77.4429463,400.0
Brandermill,Richmond,VA,37.4320932,-77.6497139,400.0
Broad Rock,Richmond,VA,37.4704256,-77.4830405,400.0
Brookbury,Richmond,VA,37.4640368,-77.49137429999999,400.0
Cherry Gardens,Richmond,VA,37.4820919,-77.4591507,400.0
Chippenham Forest,Richmond,VA,37.5319552,-77.5375794,400.0
Cofer,Richmond,VA,37.4971094,-77.45728969999999,400.0
Cottrell Farms,Richmond,VA,37.4665979,-77.4788014,400.0
Forest Hill,Richmond,VA,37.5255105,-77.47736739999999,400.0
Gravel Hill,Richmond,VA,37.5365358,-77.514708,400.0
Hickory Hill,Richmond,VA,37.4828974,-77.4716313,400.0
Hillside Court,Richmond,VA,37.5017822,-77.4336221,400.0
Huguenot,Richmond,VA,37.5458741,-77.5820012,400.0
Jahnke,Richmond,VA,37.5181543,-77.5189458,400.0
Manchester,Richmond,VA,37.5209801,-77.4441499,400.0
Maury,Richmond,VA,37.500276,-77.45011819999999,400.0
McGuire,Richmond,VA,37.4989572,-77.4744994,400.0
North Chesterfield,Richmond,VA,37.458993,-77.468513,400.0
Northrop,Richmond,VA,37.5134297,-77.47664809999999,400.0
Oak Grove,Richmond,VA,37.5095401,-77.43864289999999,400.0
Oxford,Richmond,VA,37.5393138,-77.547765,400.0
Piney Knolls,Richmond,VA,37.4793144,-77.4927632,400.0
South Richmond,Richmond,VA,37.48307459999999,-77.4785088,400.0
Southampton,Richmond,VA,37.55542459999999,-77.54915369999999,400.0
Stoney Point,Richmond,VA,37.5483402,-77.57165859999999,400.0
Stratford Hills,Richmond,VA,37.5508687,-77.530413,400.0
Swansboro,Richmond,VA,37.51664,-77.45585539999999,400.0
Walmsley,Richmond,VA,37.4659105,-77.4601581,400.0
Warwick,Richmond,VA,37.4913783,-77.4656704,400.0
Windsor,Richmond,VA,37.5501179,-77.4988753,400.0
Woodhaven,Richmond,VA,37.4978697,-77.4888388,400.0
Woodland Heights,Richmond,VA,37.5213468,-77.4630265,400.0
Worthington,Richmond,VA,37.4912901,-77.5132117,400.0
Byrd Park,Richmond,VA,37.5427152,-77.4795668,400.0
Carillon,Richmond,VA,37.5395527,-77.4859711,400.0
Carver,Richmond,VA,37.5539104,-77.4486838,400.0
Carytown,Richmond,VA,37.5530946,-77.4838202,400.0
Colonial Place,Richmond,VA,37.56670640000001,-77.4945741,400.0
Byrd Park,Richmond,VA,37.5427152,-77.4795668,400.0
The Fan,Richmond,VA,37.5512752,-77.45879339999999,400.0
Malvern Gardens,Richmond,VA,37.5687141,-77.4888388,400.0
Maymount,Richmond,VA,37.5341954,-77.47433579999999,400.0
Museum District,Richmond,VA,37.5616745,-77.48090359999999,400.0
Newtowne West,Richmond,VA,37.55745870000001,-77.45728969999999,400.0
Oregon Hill,Richmond,VA,37.5377471,-77.4508354,400.0
Randolph,Richmond,VA,37.542645,-77.4658948,400.0
Rhoadmiller,Richmond,VA,37.5669281,-77.45949809999999,400.0
Scott's Addition,Richmond,VA,37.5696159,-77.4719508,400.0
Stadium,Richmond,VA,37.5503539,-77.4888388,400.0
Stonewall Court,Richmond,VA,37.5708649,-77.508911,400.0
West of the Boulevard,Richmond,VA,37.5616745,-77.48090359999999,400.0
Westhampton,Richmond,VA,37.5741012,-77.5146453,400.0
Willow Lawn,Richmond,VA,37.5818697,-77.49758729999999,400.0
Wilton,Richmond,VA,37.5601359,-77.5189458,400.0
Windsor Farms,Richmond,VA,37.5501179,-77.4988753,400.0
Alanton,Virginia Beach,VA,36.8806669,-76.02468449999999,800.0
Aragona Village,Virginia Beach,VA,36.8589035,-76.15228789999999,800.0
Bay Colony,Virginia Beach,VA,36.8747438,-75.9954611,800.0
Bayside,Virginia Beach,VA,36.9029252,-76.1343797,800.0
Cape Henry,Virginia Beach,VA,36.9315359,-76.01993139999999,800.0
Chesapeake Beach,Virginia Beach,VA,36.9154251,-76.1202127,800.0
Croatan Beach,Virginia Beach,VA,36.8279584,-75.9686395,800.0
Great Neck Point,Virginia Beach,VA,36.9007031,-76.08660019999999,800.0
Green Run,Virginia Beach,VA,36.7983333,-76.0919444,800.0
Kempsville,Virginia Beach,VA,36.8268149,-76.1602137,800.0
Lago Mar,Virginia Beach,VA,36.7458693,-75.994413,800.0
Larkspur,Virginia Beach,VA,36.8201484,-76.13743509999999,800.0
London Bridge,Virginia Beach,VA,36.8418151,-76.0496544,800.0
Lynnhaven,Virginia Beach,VA,36.83764840000001,-76.0685439,800.0
Newtown,Virginia Beach,VA,36.8544563,-76.1776454,800.0
The North End,Virginia Beach,VA,36.8938656,-75.98623529999999,800.0
Oceana,Virginia Beach,VA,36.8420929,-76.0129864,800.0
Ocean Park,Virginia Beach,VA,36.9093141,-76.1013231,800.0
Pembroke Manor,Virginia Beach,VA,36.8520923,-76.13604629999999,800.0
Princess Anne,Virginia Beach,VA,36.7508026,-76.0540776,800.0
Pungo,Virginia Beach,VA,36.7234837,-76.0177083,800.0
Red Mill Commons,Virginia Beach,VA,36.7601474,-76.0081771,800.0
Sandbridge,Virginia Beach,VA,36.7239073,-75.9390662,800.0
Thalia,Virginia Beach,VA,36.8434815,-76.12076789999999,800.0
Thoroughgood,Virginia Beach,VA,36.8918143,-76.12910169999999,800.0
Adams Morgan,Washington,DC,38.9212418,-77.0434934,250.0
Columbia Heights,Washington,DC,38.9276414,-77.0297181,250.0
Howard University,Washington,DC,38.9226843,-77.0194377,250.0
Kalorama,Washington,DC,38.9145007,-77.046174,250.0
LeDroit Park,Washington,DC,38.9177643,-77.018303,250.0
Lanier Heights,Washington,DC,38.9256541,-77.0427737,250.0
Mount Pleasant,Washington,DC,38.9311878,-77.04061469999999,250.0
Park View,Washington,DC,38.93181060000001,-77.0233415,250.0
Pleasant Plains,Washington,DC,38.92121710000001,-77.0204624,250.0
Shaw,Washington,DC,38.9126289,-77.02294619999999,250.0
U Street Corridor,Washington,DC,38.9170008,-77.0252725,250.0
Burleith,Washington,DC,38.9145261,-77.0751538,250.0
Chinatown,Washington,DC,38.9003692,-77.0209563,250.0
Downtown,Washington,DC,38.9037406,-77.0362967,250.0
Dupont Circle,Washington,DC,38.9096936,-77.043339,250.0
Federal Triangle,Washington,DC,38.893794,-77.0281107,250.0
Foggy Bottom,Washington,DC,38.9006918,-77.0518254,250.0
Georgetown,Washington,DC,38.9097057,-77.06535650000001,250.0
Logan Circle,Washington,DC,38.909641,-77.0296369,250.0
Mount Vernon Square,Washington,DC,38.9042772,-77.0234435,250.0
Penn Quarter,Washington,DC,38.8973308,-77.02194250000001,250.0
Sheridan Kalorama,Washington,DC,38.9145007,-77.046174,250.0
Southwest Federal Center,Washington,DC,38.88561929999999,-77.02191239999999,250.0
West End,Washington,DC,38.9068048,-77.0521289,250.0
American University Park,Washington,DC,38.9455047,-77.0881034,250.0
Berkley,Washington,DC,38.9215975,-77.0924196,250.0
Cathedral Heights,Washington,DC,38.9334728,-77.07983519999999,250.0
Chevy Chase,Washington,DC,38.9610151,-77.06620889999999,250.0
Cleveland Park,Washington,DC,38.9346348,-77.0663921,250.0
Colony Hill,Washington,DC,38.913167,-77.08720029999999,250.0
Forest Hills,Washington,DC,38.9474093,-77.0593246,250.0
Foxhall,Washington,DC,38.9223334,-77.0941448,250.0
Friendship Heights,Washington,DC,38.9565712,-77.083787,250.0
Glover Park,Washington,DC,38.9209446,-77.07719999999999,250.0
Kent,Washington,DC,38.9337221,-77.1035895,250.0
Massachusetts Heights,Washington,DC,38.9190471,-77.06007679999999,250.0
McLean Gardens,Washington,DC,38.93707390000001,-77.0758733,250.0
North Cleveland Park,Washington,DC,38.9439719,-77.0724122,250.0
Observatory Circle,Washington,DC,38.9201358,-77.0714351,250.0
The Palisades,Washington,DC,38.9320344,-77.1053673,250.0
Potomac Heights,Washington,DC,38.9276111,-77.10775629999999,250.0
Spring Valley,Washington,DC,38.9416599,-77.09961299999999,250.0
Tenleytown,Washington,DC,38.9459817,-77.0809093,250.0
Wakefield,Washington,DC,38.9507566,-77.07166339999999,250.0
Wesley Heights,Washington,DC,38.9289785,-77.0895421,250.0
Woodland Normanstone,Washington,DC,38.9206149,-77.0607637,250.0
Woodley Park,Washington,DC,38.9279945,-77.0578855,250.0
"Woodmont, Washington, D.C.",Washington,DC,38.8635903,-76.9752358,250.0
Barnaby Woods,Washington,DC,38.9745158,-77.0607637,250.0
Brightwood,Washington,DC,38.9649218,-77.0276835,250.0
Brightwood Park,Washington,DC,38.9543155,-77.019762,250.0
Colonial Village,Washington,DC,38.9850771,-77.04061469999999,250.0
Crestwood,Washington,DC,38.9403344,-77.0420541,250.0
Fort Totten,Washington,DC,38.9505016,-77.00888909999999,250.0
Hawthorne,Washington,DC,38.9815654,-77.05500719999999,250.0
Manor Park,Washington,DC,38.9623788,-77.0106965,250.0
Petworth,Washington,DC,38.9424059,-77.02557999999999,250.0
Riggs Park,Washington,DC,38.9542775,-76.99414260000002,250.0
Shepherd Park,Washington,DC,38.9827023,-77.0316156,250.0
Sixteenth Street Heights,Washington,DC,38.9540781,-77.0334384,250.0
Takoma,Washington,DC,38.9736113,-77.0227898,250.0
Arboretum,Washington,DC,38.9162514,-76.9707869,250.0
Bloomingdale,Washington,DC,38.9176761,-77.01182460000001,250.0
Brentwood,Washington,DC,38.9194596,-76.99123689999999,250.0
Brookland,Washington,DC,38.9328037,-76.9863578,250.0
Carver Langston,Washington,DC,38.9009362,-76.9772675,250.0
Eckington,Washington,DC,38.9141343,-77.0031863,250.0
Edgewood,Washington,DC,38.9256162,-77.0005917,250.0
Fort Lincoln,Washington,DC,38.9214178,-76.9555116,250.0
Gateway,Washington,DC,38.9198479,-76.96286580000002,250.0
Ivy City,Washington,DC,38.9147513,-76.9859077,250.0
Langdon,Washington,DC,38.9245066,-76.9761563,250.0
Michigan Park,Washington,DC,38.9452287,-76.9830277,250.0
North Michigan Park,Washington,DC,38.9462889,-76.9949575,250.0
Pleasant Hill,Washington,DC,38.944336,-77.003937,250.0
Queens Chapel,Washington,DC,38.9545537,-76.997427,250.0
Stronghold,Washington,DC,38.9256143,-77.0082254,250.0
Trinidad,Washington,DC,38.9089568,-76.9822523,250.0
Truxton Circle,Washington,DC,38.9099729,-77.01182460000001,250.0
Woodridge,Washington,DC,38.9330005,-76.9680338,250.0
Barney Circle,Washington,DC,38.8858518,-76.9801476,250.0
Capitol Hill,Washington,DC,38.8860434,-76.999525,250.0
Judiciary Square,Washington,DC,38.8987163,-77.0163184,250.0
Kingman Park,Washington,DC,38.8958,-76.9772675,250.0
Mount Vernon Triangle,Washington,DC,38.9024949,-77.01896049999999,250.0
Navy Yard,Washington,DC,38.8764653,-77.0005547,250.0
Near Northeast,Washington,DC,38.9025149,-76.99847609999999,250.0
NoMa,Washington,DC,38.9037551,-77.0059094,250.0
Southwest Waterfront,Washington,DC,38.8764794,-77.01757889999999,250.0
Sursum Corda,Washington,DC,38.9046633,-77.01216939999999,250.0
Swampoodle,Washington,DC,38.9035189,-77.0022905,250.0
Benning Heights,Washington,DC,38.8817789,-76.9360851,250.0
Benning Ridge,Washington,DC,38.8824087,-76.938379,250.0
Benning,Washington,DC,38.8925405,-76.9484624,250.0
Burrville,Washington,DC,38.8998716,-76.92253199999999,250.0
Capitol View,Washington,DC,38.8899271,-76.9254134,250.0
Central Northeast,Washington,DC,38.8959453,-76.9413632,250.0
Civic Betterment,Washington,DC,38.8794409,-76.92990379999999,250.0
Deanwood,Washington,DC,38.902971,-76.93269269999999,250.0
Dupont Park,Washington,DC,38.8736226,-76.96286580000002,250.0
East Corner,Washington,DC,38.8624808,-77.01701589999999,250.0
East River Heights,Washington,DC,38.8920564,-76.9435854,250.0
Eastland Gardens,Washington,DC,38.9054506,-76.9434208,250.0
Fairfax Village,Washington,DC,38.8638871,-76.950623,250.0
Fairlawn,Washington,DC,38.8694706,-76.9774233,250.0
Fort Davis,Washington,DC,38.8667792,-76.9460854,250.0
Fort Dupont,Washington,DC,38.887404,-76.9484624,250.0
Fort Stanton,Washington,DC,38.85558210000001,-76.9794276,250.0
Good Hope,Washington,DC,38.8626125,-76.96386369999999,250.0
Greenway,Washington,DC,38.8835718,-76.95998519999999,250.0
Hillbrook,Washington,DC,38.8950622,-76.9349311,250.0
Hillcrest,Washington,DC,38.8633458,-76.96286580000002,250.0
Kenilworth,Washington,DC,38.9095355,-76.9398195,250.0
Lincoln Heights,Washington,DC,38.8957169,-76.9311761,250.0
Marshall Heights,Washington,DC,38.8851176,-76.9282948,250.0
Mayfair,Washington,DC,38.902698,-76.949742,250.0
Naylor Gardens,Washington,DC,38.8582068,-76.96286580000002,250.0
Northeast Boundary,Washington,DC,38.8937543,-76.91388730000001,250.0
Penn Branch,Washington,DC,38.8726445,-76.954224,250.0
Randle Highlands,Washington,DC,38.869136,-76.9686267,250.0
River Terrace,Washington,DC,38.8920564,-76.95747469999999,250.0
Skyland,Washington,DC,38.859184,-76.971507,250.0
Twining,Washington,DC,38.8717791,-76.9658082,250.0
Anacostia,Washington,DC,38.8627944,-76.9826813,250.0
Barry Farm,Washington,DC,38.8593035,-76.9990736,250.0
Bellevue,Washington,DC,38.8274243,-77.0089452,250.0
Buena Vista,Washington,DC,38.851149,-76.9686267,250.0
Congress Heights,Washington,DC,38.8426733,-76.9959872,250.0
Douglass,Washington,DC,38.847311,-76.9801476,250.0
Garfield Heights,Washington,DC,38.8547684,-76.9722271,250.0
Knox Hill,Washington,DC,38.853446,-76.96691919999999,250.0
Shipley Terrace,Washington,DC,38.847335,-76.96914149999999,250.0
Washington Highlands,Washington,DC,38.8309429,-76.9945473,250.0
Woodland,Washington,DC,38.8560701,-76.972673,250.0
